carb_eaten,protein_eaten,lifespan,lifetimeegg,dailyeggs,treatment,replicate,Ratio,Food,P_fixed,C_fixed
99.2252116,0,31,11,0.35483871,1A,1,(0:1),360,0,360
95.3268,0,33,5,0.151515152,1A,2,(0:1),360,0,360
92.54,0,21,9,0.428571429,1A,3,(0:1),360,0,360
108.2693,0,15,6,0.4,1A,4,(0:1),360,0,360
92.1218,0,9.5,4,0.421052632,1A,5,(0:1),360,0,360
123.987,0,21,8,0.380952381,1A,6,(0:1),360,0,360
79.8825,0,21,8,0.380952381,1A,7,(0:1),360,0,360
93.483,0,17,7,0.411764706,1A,8,(0:1),360,0,360
105.5842565,0,35,19,0.542857143,1A,9,(0:1),360,0,360
113.5330627,0,23,11,0.47826087,1A,10,(0:1),360,0,360
102.82,0,34,10,0.294117647,1A,11,(0:1),360,0,360
127.0460332,0,10,9,0.9,1A,12,(0:1),360,0,360
70.85410835,0,6,2,0.333333333,1A,13,(0:1),360,0,360
111.5035746,0,12,4,0.333333333,1A,14,(0:1),360,0,360
72.88860818,0,6,2,0.333333333,1A,15,(0:1),360,0,360
87.1011139,0,34,17,0.5,1A,16,(0:1),360,0,360
62.40522813,0,6.5,3,0.461538462,1A,17,(0:1),360,0,360
103.0987141,0,27,5,0.185185185,1A,18,(0:1),360,0,360
70.33293827,0,8,1,0.125,1A,19,(0:1),360,0,360
95.20456772,0,17,9,0.529411765,1A,20,(0:1),360,0,360
95.50083262,0,17,5,0.294117647,1A,21,(0:1),360,0,360
120.8386085,0,38,12,0.315789474,1A,22,(0:1),360,0,360
96.64652688,0,9.5,2,0.210526316,1A,23,(0:1),360,0,360
83.91871857,0,12.5,4,0.32,1A,24,(0:1),360,0,360
109.3091972,0,13,16,1.230769231,1A,25,(0:1),360,0,360
98.38205088,0,21,16,0.761904762,1A,26,(0:1),360,0,360
.,.,.,.,.,1A,27,(0:1),360,0,360
109.7638176,0,25,12,0.48,1A,28,(0:1),360,0,360
69.83306983,0,23,6,0.260869565,1A,29,(0:1),360,0,360
98.53765033,0,17,16,0.941176471,1A,30,(0:1),360,0,360
115.6776766,0,19,10,0.526315789,1A,31,(0:1),360,0,360
131.9808237,0,21,21,1,1A,32,(0:1),360,0,360
99.0506491,0,19,18,0.947368421,1A,33,(0:1),360,0,360
90.9091702,0,21,14,0.666666667,1A,34,(0:1),360,0,360
87.9122499,0,31,4,0.129032258,1A,35,(0:1),360,0,360
130.8511781,0,23,22,0.956521739,1A,36,(0:1),360,0,360
93.41579223,0,19,12,0.631578947,1B,1,(0:1),180,0,180
126.2814617,0,9,1,0.111111111,1B,2,(0:1),180,0,180
91.06824442,0,10,2,0.2,1B,3,(0:1),180,0,180
79.33050535,0,31,19,0.612903226,1B,4,(0:1),180,0,180
110.7876461,0,10,5,0.5,1B,5,(0:1),180,0,180
126.2814617,0,12.5,1,0.08,1B,6,(0:1),180,0,180
100.4584357,0,12.5,5,0.4,1B,7,(0:1),180,0,180
91.06824442,0,11,2,0.181818182,1B,8,(0:1),180,0,180
98.11088787,0,18,13,0.722222222,1B,9,(0:1),180,0,180
98.11088787,0,19,3,0.157894737,1B,10,(0:1),180,0,180
114.5437226,0,26,19,0.730769231,1B,11,(0:1),180,0,180
121.586366,0,10,6,0.6,1B,12,(0:1),180,0,180
72.25511942,0,21,4,0.19047619,1B,13,(0:1),180,0,180
97.5338075,0,15,13,0.866666667,1B,14,(0:1),180,0,180
73.41237863,0,7,6,0.857142857,1B,15,(0:1),180,0,180
114.3963127,0,17,11,0.647058824,1B,16,(0:1),180,0,180
96.32428855,0,18,10,0.555555556,1B,17,(0:1),180,0,180
54.7361693,0,6.5,3,0.461538462,1B,18,(0:1),180,0,180
79.76572678,0,15,12,0.8,1B,19,(0:1),180,0,180
61.3331189,0,14,9,0.642857143,1B,20,(0:1),180,0,180
124.1184638,0,16,18,1.125,1B,21,(0:1),180,0,180
65.41709345,0,9,5,0.555555556,1B,22,(0:1),180,0,180
77.72434058,0,13,12,0.923076923,1B,23,(0:1),180,0,180
109.3065312,0,9,5,0.555555556,1B,24,(0:1),180,0,180
119.516034,0,19,20,1.052631579,1B,25,(0:1),180,0,180
100.052878,0,19,1,0.052631579,1B,26,(0:1),180,0,180
118.2397706,0,9,6,0.666666667,1B,27,(0:1),180,0,180
.,.,.,.,.,1B,28,(0:1),180,0,180
91.84524735,0,16,9,0.5625,1B,29,(0:1),180,0,180
104.8297824,0,13,12,0.923076923,1B,30,(0:1),180,0,180
109.0683686,0,19,27,1.421052632,1B,31,(0:1),180,0,180
101.4373204,0,17,12,0.705882353,1B,32,(0:1),180,0,180
