Food,Ratio,DietID,replicate,flyID,lifespan,totaleaten,watertotal,dietremaining,waterremaining,eggs,trial
360 mg/mL,0:01,1,A,1A,4,1.616571552,14.70520562,28.2,26.5,0,I
360 mg/mL,0:01,1,A,1A,8,10.20596411,33.99570412,27.1,23.7,0,I
360 mg/mL,0:01,1,A,1A,12,53.21993032,58.81020965,20.4,19.3,0,I
360 mg/mL,0:01,1,A,1A,16,36.52551372,86.42918834,23.3,11.9,0,I
360 mg/mL,0:01,1,A,1A,20,36.52551372,47.78683452,23.3,21.4,0,I
360 mg/mL,0:01,1,A,1A,24,36.52551372,64.4548781,23.3,18.1,0,I
360 mg/mL,0:01,1,A,1A,28,41.4184226,29.43374962,22.5,24.4,0,I
360 mg/mL,0:01,1,A,1A,32,15.44240619,69.63467919,26.4,16.9,0,I
360 mg/mL,0:01,1,A,1A,36,27.42580878,53.74476379,24.7,20.3,0,I
360 mg/mL,1:16,2,A,2A,4,15.44240619,44.94336203,26.4,21.9,0,I
360 mg/mL,1:16,2,A,2A,8,38.38632527,73.22006737,23,16,0,I
360 mg/mL,1:16,2,A,2A,12,55.81074666,44.36443854,19.9,22,0,I
360 mg/mL,1:16,2,A,2A,16,39.60953012,57.32535276,22.8,19.6,0,I
360 mg/mL,1:16,2,A,2A,20,30.75473522,76.90831998,24.2,15,0,I
360 mg/mL,1:16,2,A,2A,24,30.09600373,79.63876864,24.3,14.2,0,I
360 mg/mL,1:16,2,A,2A,28,37.14925741,58.31855448,23.2,19.4,0,I
360 mg/mL,1:16,2,A,2A,32,35.89829095,69.63467919,23.4,16.9,0,I
360 mg/mL,1:16,2,A,2A,36,35.2675847,53.21993032,23.5,20.4,0,I
360 mg/mL,1:16,2,A,2A,40,56.82379618,95.2919166,19.7,6.9,0,I
360 mg/mL,1:16,2,A,2A,44,103.0595068,100,9,0,0,I
360 mg/mL,1:16,2,A,2A,48,37.76952645,47.78683452,23.1,21.4,0,I
360 mg/mL,1:08,3,A,3A,4,34.63339055,26.0694902,23.6,24.9,0,I
360 mg/mL,1:08,3,A,3A,8,-0.803079202,29.43374962,28.5,24.4,0,I
360 mg/mL,1:08,3,A,3A,12,52.69175198,100,20.5,0,0,I
360 mg/mL,1:08,3,A,3A,16,41.4184226,71.25957831,22.5,16.5,0,I
360 mg/mL,1:08,3,A,3A,20,49.45216987,7.907281698,21.1,27.4,36,I
360 mg/mL,1:08,3,A,3A,24,37.14925741,46.65965594,23.2,21.6,12,I
360 mg/mL,1:08,3,A,3A,28,49.45216987,79.3080442,21.1,14.3,0,I
360 mg/mL,1:08,3,A,3A,32,51.08709948,51.62534139,20.8,20.7,21,I
360 mg/mL,1:08,3,A,3A,36,51.08709948,32.06164751,20.8,24,0,I
360 mg/mL,1:08,3,A,3A,40,53.21993032,87.2018987,20.4,11.6,0,I
360 mg/mL,1:08,3,A,3A,44,42.01449416,88.4332444,22.4,11.1,0,I
360 mg/mL,1:08,3,A,3A,48,26.74942145,57.82360386,24.8,19.5,0,I
360 mg/mL,1:08,3,A,3A,52,51.62534139,48.90044281,20.7,21.2,10,I
360 mg/mL,1:04,4,A,4A,4,21.21038826,51.62534139,25.6,20.7,0,I
360 mg/mL,1:04,4,A,4A,8,42.01449416,70.04563546,22.4,16.8,0,I
360 mg/mL,1:04,4,A,4A,12,26.74942145,72.83421799,24.8,16.1,78,I
360 mg/mL,1:04,4,A,4A,16,58.31855448,98.49142464,19.4,3.3,72,I
360 mg/mL,1:04,4,A,4A,20,56.82379618,65.35021381,19.7,17.9,114,I
360 mg/mL,1:04,4,A,4A,22,10.9649099,83.37491261,27,13,140,I
360 mg/mL,1:02,5,A,5A,4,77.95497475,79.96648836,14.7,14.1,0,I
360 mg/mL,1:02,5,A,5A,8,36.52551372,50.54549345,23.3,20.9,0,I
360 mg/mL,1:02,5,A,5A,12,58.31855448,41.4184226,19.4,22.5,0,I
360 mg/mL,1:02,5,A,5A,16,50.0005185,62.6254228,21,18.5,40,I
360 mg/mL,1:02,5,A,5A,18,10.20596411,15.44240619,27.1,26.4,13,I
360 mg/mL,1:01,6,A,6A,4,23.31424166,86.94716829,25.3,11.7,0,I
360 mg/mL,1:01,6,A,6A,8,37.76952645,61.69121937,23.1,18.7,0,I
360 mg/mL,1:01,6,A,6A,10,5.575748738,97.31060106,27.7,4.8,0,I
360 mg/mL,1:00,7,A,7A,3,0.007158769,70.04563546,28.4,16.8,0,I
180 mg/mL,0:01,8,A,8A,4,64.4548781,62.6254228,18.1,18.5,0,I
180 mg/mL,0:01,8,A,8A,8,28.09865641,66.66909657,24.6,17.6,0,I
180 mg/mL,0:01,8,A,8A,12,50.0005185,99.79681287,21,0.9,0,I
180 mg/mL,0:01,8,A,8A,16,61.21923053,100,18.8,0,0,I
180 mg/mL,0:01,8,A,8A,20,55.29924381,53.21993032,20,20.4,0,I
180 mg/mL,0:01,8,A,8A,24,54.26625728,87.70287639,20.2,11.4,0,I
180 mg/mL,0:01,8,A,8A,28,62.6254228,64.00237016,18.5,18.2,0,I
180 mg/mL,1:16,9,A,9A,4,60.74397673,79.63876864,18.9,14.2,0,I
